1      859-4900 Washington, D.C.    T.M. 75 W.     Used 2001->          
       PREDICTED HOURLY HEIGHTS  YEAR 2017  MONTH  2  DATUM   1.55      *NOAA, NATIONAL OCEAN SERVICE*     -0.0000000

       DAY   HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS    HOURS
              0/12     1/13     2/14     3/15     4/16     5/17     6/18     7/19     8/20     9/21    10/22    11/23

        1      0.8      1.6      2.4      3.0      3.2      2.9      2.4      1.7      0.9      0.3     -0.0      0.1
        1      0.6      1.4      2.3      3.0      3.3      3.2      2.7      2.0      1.2      0.5     -0.0     -0.1
        2      0.2      0.9      1.7      2.6      3.1      3.3      3.0      2.5      1.7      1.0      0.3     -0.0
        2      0.1      0.6      1.4      2.3      2.9      3.2      3.1      2.6      1.9      1.1      0.4     -0.1
        3     -0.1      0.2      0.9      1.8      2.7      3.2      3.4      3.1      2.6      1.8      1.0      0.3
        3     -0.0      0.1      0.6      1.3      2.2      2.8      3.1      3.0      2.5      1.9      1.1      0.3
        4     -0.1     -0.2      0.2      1.0      1.9      2.7      3.3      3.5      3.3      2.7      1.9      1.1
        4      0.3     -0.0      0.0      0.5      1.3      2.1      2.8      3.1      3.0      2.5      1.8      1.0
        5      0.2     -0.2     -0.2      0.2      1.0      1.9      2.8      3.4      3.6      3.4      2.8      2.0
        5      1.1      0.3     -0.1     -0.1      0.4      1.2      2.1      2.8      3.1      3.0      2.5      1.8
        6      0.9      0.2     -0.3     -0.3      0.2      1.0      2.0      2.9      3.6      3.8      3.5      2.9
        6      2.0      1.0      0.3     -0.2     -0.1      0.3      1.2      2.1      2.8      3.1      3.0      2.5
        7      1.7      0.9      0.1     -0.3     -0.3      0.2      1.0      2.1      3.0      3.7      3.8      3.6
        7      2.9      2.0      1.0      0.2     -0.2     -0.2      0.3      1.2      2.1      2.8      3.2      3.0
        8      2.5      1.7      0.8      0.0     -0.4     -0.3      0.2      1.1      2.2      3.2      3.8      3.9
        8      3.6      2.8      1.9      0.9      0.1     -0.3     -0.2      0.4      1.3      2.2      2.9      3.2
